,year,activity,sex,age,cat_age,century
0,2020.0,Boogie boarding,F,50,Adult,XXI
1,2020.0,Surfing,F,35,Young Adult,XXI
2,2020.0,Fishing,M,55,Adult,XXI
3,2020.0,Snorkeling,F,,No category,XXI
4,2020.0,Surfing,F,22,Young Adult,XXI
5,2020.0,Swimming,M,14,Teenager,XXI
6,2020.0,Surfing,M,28,Young Adult,XXI
7,2020.0,Diving,M,38,Adult,XXI
8,2020.0,Sightseeing,,,No category,XXI
9,2020.0,Swimming,M,4,Child,XXI
10,2020.0,Swimming,F,63,Adult,XXI
11,2020.0,Spearfishing,M,23,Young Adult,XXI
12,2020.0,Standing,M,11,Child,XXI
13,2020.0,Treading water,M,,No category,XXI
14,2020.0,Wading,F,12,Teenager,XXI
15,2020.0,Fishing,M,10,Child,XXI
16,2020.0,Wading,F,14,Teenager,XXI
17,2020.0,Snorkeling,F,29,Young Adult,XXI
18,2020.0,Surfing,M,15,Teenager,XXI
19,2020.0,Spearfishing,M,36,Adult,XXI
20,2020.0,Playing,M,7,Child,XXI
21,2020.0,Body Surfing,M,16,Teenager,XXI
22,2020.0,,,,No category,XXI
23,2020.0,Windsurfing,M,30,Young Adult,XXI
24,2020.0,Surfing,M,60,Adult,XXI
25,2020.0,,F,,No category,XXI
26,2020.0,Skimboarding,M,12,Teenager,XXI
27,2020.0,Surfing,M,,No category,XXI
28,2020.0,Spearfishing,M,,No category,XXI
29,2020.0,Spearfishing,M,18,Young Adult,XXI
30,2020.0,Playing,M,12,Teenager,XXI
31,2020.0,Playing,M,9,Child,XXI
32,2020.0,Snorkeling,,,No category,XXI
33,2020.0,Surfing,M,26,Young Adult,XXI
34,2020.0,Surfing,M,,No category,XXI
35,2020.0,Swimming,F,57,Adult,XXI
36,2020.0,Body Boarding,M,16,Teenager,XXI
37,2020.0,Swimming,F,,No category,XXI
38,2020.0,Surfing,F,,No category,XXI
39,2020.0,Swimming,M,23,Young Adult,XXI
40,2020.0,Surfing,M,38,Adult,XXI
41,2020.0,Stand-Up Paddleboarding,M,Teen,Teenager,XXI
42,2020.0,Surfing,M,,No category,XXI
43,2020.0,Surfing,M,,No category,XXI
44,2020.0,,F,,No category,XXI
45,2020.0,Kayak fishing,M,,No category,XXI
46,2020.0,Spearfishing,M,26,Young Adult,XXI
47,2020.0,Surfing,M,60,Adult,XXI
48,2020.0,Stand-Up Paddle boarding,,,No category,XXI
49,2020.0,Canoeing,M,,No category,XXI
50,2020.0,Floating,F,24,Young Adult,XXI
51,2020.0,Surfing,M,59,Adult,XXI
52,2020.0,Surfing,F,13,Teenager,XXI
53,2020.0,Surfing,M,26,Young Adult,XXI
54,2020.0,Swimming,M,75,Elder,XXI
55,2020.0,Swimming,F,7,Child,XXI
56,2020.0,Scuba diving,M,57,Adult,XXI
57,2020.0,,M,12,Teenager,XXI
58,2020.0,Swimming after being swept off rocks,M,21,Young Adult,XXI
60,2019.0,Swimming,F,45,Adult,XXI
61,2019.0,Spearfishing,M,33,Young Adult,XXI
62,2019.0,Surf skiing,M,,No category,XXI
63,2019.0,Boogie boarding,F,17,Teenager,XXI
64,2019.0,Surfing,M,37,Adult,XXI
65,2019.0,Fishing,,,No category,XXI
66,2019.0,Kayaking,M,70,Elder,XXI
67,2019.0,Free diving,M,57,Adult,XXI
68,2019.0,Stand-Up Paddleboarding,M,57,Adult,XXI
69,2019.0,Surfing,M,9,Child,XXI
70,2019.0,Snorkeling,M,30,Young Adult,XXI
71,2019.0,Spearfishing,M,38,Adult,XXI
72,2019.0,Fishing,M,,No category,XXI
73,2019.0,Snorkeling,M,,No category,XXI
74,2019.0,Feeding sharks,M,9,Child,XXI
75,2019.0,Surfing,M,30,Young Adult,XXI
76,2019.0,Snorkeling,M,23,Young Adult,XXI
77,2019.0,Kayaking fishing,M,,No category,XXI
78,2019.0,Surfing,F,,No category,XXI
79,2019.0,Snorkeling,M,44,Adult,XXI
81,2019.0,Surfing,M,32,Young Adult,XXI
82,2019.0,Snorkeling,F,35,Young Adult,XXI
83,2019.0,Surfing,M,17,Teenager,XXI
84,2019.0,Surfing,M,20,Young Adult,XXI
85,2019.0,Surfing,M,29,Young Adult,XXI
86,2019.0,Kayaking,M,51,Adult,XXI
87,2019.0,Surfing,M,,No category,XXI
88,2019.0,Fishing,M,45,Adult,XXI
89,2019.0,Surfing,F,,No category,XXI
90,2019.0,Swimming,M,,No category,XXI
91,2019.0,Surfing,M,13,Teenager,XXI
92,2019.0,Snorkeling,,"22, 57, 31",,XXI
93,2019.0,,F,22,Young Adult,XXI
94,2019.0,Spearfishing,M,,No category,XXI
95,2019.0,Spearfishing,M,70,Elder,XXI
96,2019.0,,M,60s,Elder,XXI
97,2019.0,Surfing,M,40,Adult,XXI
98,2019.0,Wading,M,11,Child,XXI
99,2019.0,Swimming/ Treading water,F,26,Young Adult,XXI
100,2019.0,Wading,M,9,Child,XXI
101,2019.0,Surfing,M,16,Teenager,XXI
102,2019.0,Standing,M,51,Adult,XXI
103,2019.0,Surfing,F,21,Young Adult,XXI
104,2019.0,Surfing,M,20,Young Adult,XXI
105,2019.0,Spearfishing / Diving,M,37,Adult,XXI
106,2019.0,Swimming,M,49,Adult,XXI
107,2019.0,Fishing,M,,No category,XXI
108,2019.0,Surfing,M,18,Young Adult,XXI
109,2019.0,Snorkeling,F,,No category,XXI
110,2019.0,Boogie boarding,M,49,Adult,XXI
111,2019.0,Surfing,M,18,Young Adult,XXI
112,2019.0,Surfing,M,23,Young Adult,XXI
113,2019.0,Diving,,,No category,XXI
114,2019.0,Scuba diving,M,45,Adult,XXI
115,2019.0,Body-surfing,F,,No category,XXI
116,2019.0,Boogie boarding,F,16,Teenager,XXI
117,2019.0,Surfing,M,20's,Young Adult,XXI
118,2019.0,Paddle boarding,M,43,Adult,XXI
119,2019.0,Fishing,M,,No category,XXI
120,2019.0,Snorkeling,M,32,Young Adult,XXI
121,2019.0,Surfing,M,18,Young Adult,XXI
122,2019.0,Snorkeling,F,21,Young Adult,XXI
123,2019.0,Spearfishing,M,,No category,XXI
124,2019.0,Snorkeling,M,50,Adult,XXI
125,2019.0,Swimming,M,8,Child,XXI
126,2019.0,Swimming,M,64,Adult,XXI
127,2019.0,Surfing,M,19,Young Adult,XXI
128,2019.0,Abalone diving,M,,No category,XXI
129,2019.0,Surfing,M,,No category,XXI
130,2019.0,Standing,F,17,Teenager,XXI
131,2019.0,Fishing,M,43,Adult,XXI
132,2019.0,Swimming,M,65,Adult,XXI
133,2019.0,Swimming,M,10,Child,XXI
134,2019.0,Body Boarding,M,67,Elder,XXI
135,2019.0,Scuba diving,M,,No category,XXI
136,2019.0,Surfing,M,,No category,XXI
137,2019.0,Body Surfing,M,53,Adult,XXI
138,2019.0,Surfing,M,28,Young Adult,XXI
139,2019.0,Swimming with sharks,F,34,Young Adult,XXI
140,2019.0,Surfing,F,28,Young Adult,XXI
141,2019.0,Fishing,M,12,Teenager,XXI
142,2019.0,Fishing,M,,No category,XXI
143,2019.0,Spearfishing,M,18,Young Adult,XXI
144,2019.0,Kayaking,F,65,Adult,XXI
145,2019.0,,M,25,Young Adult,XXI
146,2019.0,Boogie boarding,F,10,Child,XXI
147,2019.0,Picking opihi,M,58,Adult,XXI
148,2019.0,Swimming,M,23,Young Adult,XXI
149,2019.0,Diving in shark tank,F,,No category,XXI
150,2019.0,Paddling an outrigger canoe,M,74,Elder,XXI
151,2019.0,Swimming,M,25,Young Adult,XXI
152,2019.0,Surfing,M,46,Adult,XXI
153,2019.0,Swimming,M,32,Young Adult,XXI
154,2019.0,Swimming,M,58,Adult,XXI
155,2019.0,Boogie boarding,M,11,Child,XXI
156,2019.0,Surfing,M,,No category,XXI
157,2019.0,Fishing,M,46,Adult,XXI
158,2019.0,Surfing,M,41,Adult,XXI
159,2019.0,Surfing,M,31,Young Adult,XXI
160,2019.0,Spearfishing,M,25,Young Adult,XXI
161,2019.0,Surfing,M,,No category,XXI
162,2019.0,Surfing,M,50,Adult,XXI
163,2019.0,Fishing,M,,No category,XXI
164,2019.0,Spearfishing,M,50,Adult,XXI
165,2019.0,Fishing,M,41,Adult,XXI
166,2019.0,Boogie boarding,F,17,Teenager,XXI
167,2019.0,Swimming,F,15,Teenager,XXI
169,2019.0,Surfing,M,19,Young Adult,XXI
170,2018.0,Diving,M,35,Young Adult,XXI
171,2018.0,,M,48,Adult,XXI
172,2018.0,Spearfishing,M,24,Young Adult,XXI
173,2018.0,Spearfishing,M,50,Adult,XXI
174,2018.0,Surfing,M,36,Adult,XXI
175,2018.0,Surfing,M,20s,Young Adult,XXI
176,2018.0,Surfing,M,48,Adult,XXI
177,2018.0,Spearfishing,M,17,Teenager,XXI
178,2018.0,Surfing,M,24,Young Adult,XXI
179,2018.0,Kayaking,M,31,Young Adult,XXI
180,2018.0,Fishing,M,41,Adult,XXI
181,2018.0,Body Boarding,M,20,Young Adult,XXI
182,2018.0,Swimming,M,8,Child,XXI
183,2018.0,Surfing,M,42,Adult,XXI
184,2018.0,Swimming,M,33,Young Adult,XXI
185,2018.0,Scuba diving,M,,No category,XXI
186,2018.0,Surfing,M,,No category,XXI
187,2018.0,Surfing,F,,No category,XXI
188,2018.0,Surfing,M,29,Young Adult,XXI
189,2018.0,Diving / Filming,M,,No category,XXI
190,2018.0,Surfing,M,25,Young Adult,XXI
191,2018.0,Body Surfing,M,50,Adult,XXI
192,2018.0,Surf skiing,M,,No category,XXI
193,2018.0,Spearfishing,M,,No category,XXI
194,2018.0,Surfing,F,,No category,XXI
195,2018.0,Fishing,M,55,Adult,XXI
196,2018.0,Diving,M,13,Teenager,XXI
197,2018.0,,M,17,Teenager,XXI
198,2018.0,Fishing,M,55,Adult,XXI
199,2018.0,Spearfishing,F,32,Young Adult,XXI
200,2018.0,,F,,No category,XXI
201,2018.0,Swimming,F,12,Teenager,XXI
202,2018.0,Spearfishing,M,43,Adult,XXI
203,2018.0,Swimming,F,46,Adult,XXI
204,2018.0,Boogie boarding,M,26,Young Adult,XXI
205,2018.0,Surfing,M,39,Adult,XXI
206,2018.0,Stand-Up Paddleboarding,M,23,Young Adult,XXI
207,2018.0,Surfing,M,60s,Elder,XXI
208,2018.0,Fishing,M,40,Adult,XXI
209,2018.0,Diving,M,,No category,XXI
210,2018.0,Swimming,M,14,Teenager,XXI
211,2018.0,Spearfishing,M,29,Young Adult,XXI
212,2018.0,Surfing,M,14,Teenager,XXI
213,2018.0,Playing,M,24,Young Adult,XXI
214,2018.0,Standing,F,56,Adult,XXI
215,2018.0,,M,,No category,XXI
216,2018.0,Swimming,M,61,Adult,XXI
217,2018.0,Spearfishing,M,42,Adult,XXI
218,2018.0,Standing,M,16,Teenager,XXI
220,2018.0,Snorkeling,M,42,Adult,XXI
221,2018.0,Surfing,M,14,Teenager,XXI
222,2018.0,Putting hand in shark tank,F,6,Child,XXI
223,2018.0,Boogie Boarding,M,13,Teenager,XXI
224,2018.0,Wading,F,12,Teenager,XXI
225,2018.0,Surfing,F,,No category,XXI
226,2018.0,Fishing,M,62,Adult,XXI
227,2018.0,Wading,F,58,Adult,XXI
228,2018.0,Surfing,F,14,Teenager,XXI
229,2018.0,Wading,M,17,Teenager,XXI
230,2018.0,Surfing,M,30,Young Adult,XXI
231,2018.0,Surfing,M,14,Teenager,XXI
232,2018.0,Floating,F,19,Young Adult,XXI
233,2018.0,Snorkeling,M,,No category,XXI
234,2018.0,Boogie boarding,F,11,Child,XXI
235,2018.0,Paddling,F,57,Adult,XXI
236,2018.0,Fishing,M,,No category,XXI
237,2018.0,Standing,F,11,Child,XXI
238,2018.0,Surfing,M,48,Adult,XXI
239,2018.0,Surfing,M,,No category,XXI
240,2018.0,Free diving,M,,No category,XXI
241,2018.0,Kite surfing,M,,No category,XXI
242,2018.0,Swimming,M,18,Young Adult,XXI
243,2018.0,Scuba Diving,M,,No category,XXI
244,2018.0,Fishing,M,52,Adult,XXI
245,2018.0,Walking,M,15,Teenager,XXI
246,2018.0,Standing,M,12,Teenager,XXI
247,2018.0,Feeding sharks,M,32,Young Adult,XXI
248,2018.0,Boogie boarding,M,10,Child,XXI
249,2018.0,Swimming,M,10,Child,XXI
250,2018.0,Fishing,M,21,Young Adult,XXI
251,2018.0,Feeding sharks,F,34,Young Adult,XXI
252,2018.0,Surfing,M,,No category,XXI
253,2018.0,Surfing,M,,No category,XXI
254,2018.0,Swimming,M,,No category,XXI
255,2018.0,Fishing,M,,No category,XXI
256,2018.0,Scuba diving,M,30,Young Adult,XXI
257,2018.0,Surfing,M,,No category,XXI
258,2018.0,Surfing,M,,No category,XXI
259,2018.0,Surfing,M,60,Adult,XXI
260,2018.0,Surfing,M,,No category,XXI
261,2018.0,Fishing,M,32,Young Adult,XXI
262,2018.0,Surf-skiing,M,33,Young Adult,XXI
263,2018.0,Body boarding,M,29,Young Adult,XXI
264,2018.0,Swimming,M,54,Adult,XXI
265,2018.0,Swimming,M,34,Young Adult,XXI
266,2018.0,Surfing,M,41,Adult,XXI
267,2018.0,Surfing,M,37,Adult,XXI
268,2018.0,Surfing,M,,No category,XXI
269,2018.0,Fishing,M,56,Adult,XXI
270,2018.0,Foilboarding,M,17,Teenager,XXI
271,2018.0,Swimming,M,12,Teenager,XXI
272,2018.0,Surfing,M,19,Young Adult,XXI
273,2018.0,Stand-Up Paddleboarding,M,25,Young Adult,XXI
274,2018.0,Wading,M,10,Child,XXI
275,2018.0,Swimming,M,69,Elder,XXI
276,2018.0,Surfing,M,18,Young Adult,XXI
277,2018.0,Scuba Diving,M,38,Adult,XXI
278,2018.0,Swimming,F,55,Adult,XXI
279,2018.0,Fishing,M,34,Young Adult,XXI
280,2018.0,Walking,M,35,Young Adult,XXI
281,2018.0,Swimming,F,,No category,XXI
282,2018.0,Cleaning fish,F,46,Adult,XXI
283,2018.0,Snorkeling,M,45,Adult,XXI
284,2018.0,Spearfishing,M,14,Teenager,XXI
285,2018.0,,M,18,Young Adult,XXI
286,2018.0,Spearfishing,M,40s,Adult,XXI
287,2018.0,Diving,M,,No category,XXI
288,2018.0,Free diving,M,28,Young Adult,XXI
289,2018.0,Surfing,M,20,Young Adult,XXI
290,2018.0,Surfing,M,,No category,XXI
291,2017.0,Surfing,F,54,Adult,XXI
292,2017.0,Surfing,F,35,Young Adult,XXI
293,2017.0,Fishing / Wading,M,24,Young Adult,XXI
294,2017.0,Snorkeling,F,25,Young Adult,XXI
295,2017.0,Scuba Diving,M,26,Young Adult,XXI
296,2017.0,Scuba diving,F,49,Adult,XXI
297,2017.0,2 boats capsized,,,No category,XXI
298,2017.0,Spearfishing,M,25,Young Adult,XXI
299,2017.0,Surfing,F,14,Teenager,XXI
300,2017.0,Surfing,M,24,Young Adult,XXI
301,2017.0,Surfing,M,25,Young Adult,XXI
302,2017.0,Night bathing,M,22,Young Adult,XXI
303,2017.0,Surfing,M,20s,Young Adult,XXI
304,2017.0,Snorkeling,M,7,Child,XXI
305,2017.0,Surfing,M,31,Young Adult,XXI
306,2017.0,Stand-Up Paddleboarding,M,,No category,XXI
307,2017.0,Swimming,M,,No category,XXI
308,2017.0,Surfing,M,17,Teenager,XXI
309,2017.0,Swimming,F,60,Adult,XXI
310,2017.0,Kayaking / Fishing,F,15,Teenager,XXI
311,2017.0,Kayaking,M,,No category,XXI
312,2017.0,Swimming,M,,No category,XXI
313,2017.0,Surfing,M,54,Adult,XXI
314,2017.0,Snorkeling,F,40,Adult,XXI
315,2017.0,Scuba Diving,M,31,Young Adult,XXI
316,2017.0,Surfing,M,,No category,XXI
317,2017.0,Surfing,M,,No category,XXI
318,2017.0,Surfing,M,33,Young Adult,XXI
319,2017.0,Surfing,M,,No category,XXI
320,2017.0,Surfing,M,,No category,XXI
321,2017.0,Body surfing,M,13,Teenager,XXI
322,2017.0,Surfing,M,28,Young Adult,XXI
323,2017.0,Scuba Diving,M,25,Young Adult,XXI
324,2017.0,Fishing,M,,No category,XXI
325,2017.0,Fishing,,,No category,XXI
326,2017.0,Surfing,M,18,Young Adult,XXI
327,2017.0,Swimming,M,,No category,XXI
328,2017.0,Surfing,M,35,Young Adult,XXI
329,2017.0,Spearfishing,M,,No category,XXI
330,2017.0,"Swimming, poaching abalone",M,,No category,XXI
331,2017.0,Surfing,M,42,Adult,XXI
332,2017.0,Swimming,M,,No category,XXI
333,2017.0,Swimming,F,,No category,XXI
334,2017.0,Surfing,M,17,Teenager,XXI
335,2017.0,Surfing,M,37,Adult,XXI
336,2017.0,Wading,F,3,Child,XXI
337,2017.0,Swimming,F,11,Child,XXI
338,2017.0,Canoeing,M,,No category,XXI
339,2017.0,SUP,M,69,Elder,XXI
340,2017.0,Spearfishing,M,,No category,XXI
341,2017.0,Swimming,M,13,Teenager,XXI
342,2017.0,Snorkeling,F,20,Young Adult,XXI
343,2017.0,Fishing,M,34,Young Adult,XXI
344,2017.0,Fishing,M,,No category,XXI
345,2017.0,Skimboarding,M,15,Teenager,XXI
346,2017.0,Swimming,M,10,Child,XXI
347,2017.0,,F,12,Teenager,XXI
348,2017.0,Snorkeling,F,,No category,XXI
349,2017.0,Spearfishing,M,,No category,XXI
350,2017.0,Surfing,M,37,Adult,XXI
351,2017.0,,F,,No category,XXI
352,2017.0,Swimming,F,,No category,XXI
353,2017.0,,F,40,Adult,XXI
354,2017.0,Swimming,F,8,Child,XXI
355,2017.0,Kayaking,M,40,Adult,XXI
356,2017.0,SUP,M,50,Adult,XXI
357,2017.0,Surfing,M,,No category,XXI
358,2017.0,Surfing,M,,No category,XXI
359,2017.0,Kayaking,M,,No category,XXI
360,2017.0,Swimming,M,46,Adult,XXI
361,2017.0,Fishing,M,32,Young Adult,XXI
362,2017.0,Surfing,F,13,Teenager,XXI
363,2017.0,Fishing,,,No category,XXI
364,2017.0,Fishing,M,,No category,XXI
365,2017.0,Swimming,F,16,Teenager,XXI
366,2017.0,Surfing,M,,No category,XXI
367,2017.0,Swimming,F,14,Teenager,XXI
368,2017.0,Body boarding,M,34,Young Adult,XXI
369,2017.0,Swimming,M,82,Elder,XXI
370,2017.0,Surfing,M,,No category,XXI
371,2017.0,Feeding sharks,F,,No category,XXI
372,2017.0,Body boarding,M,48,Adult,XXI
373,2017.0,Surfing,F,,No category,XXI
374,2017.0,Surfing,M,19,Young Adult,XXI
375,2017.0,Surfing,M,30,Young Adult,XXI
376,2017.0,Spearfishing,M,,No category,XXI
377,2017.0,Snorkeling,F,32,Young Adult,XXI
378,2017.0,Touching a shark,F,20,Young Adult,XXI
379,2017.0,Feeding sharks,M,,No category,XXI
380,2017.0,Fishing,M,73,Elder,XXI
381,2017.0,Spearfishing,M,41,Adult,XXI
382,2017.0,Attempting to lasso a shark,M,29,Young Adult,XXI
383,2017.0,Snorkeling,M,33,Young Adult,XXI
384,2017.0,Surfing,F,18,Young Adult,XXI
385,2017.0,Swimming,F,,No category,XXI
386,2017.0,Surfing,M,14,Teenager,XXI
387,2017.0,Surfing,F,33,Young Adult,XXI
388,2017.0,Body boarding,M,28,Young Adult,XXI
389,2017.0,Body boarding,F,20s,Young Adult,XXI
390,2017.0,Photo shoot,F,,No category,XXI
391,2017.0,Snorkeling,F,40,Adult,XXI
392,2017.0,Swimming,M,,No category,XXI
393,2017.0,,,,No category,XXI
394,2017.0,Surfing,F,17,Teenager,XXI
395,2017.0,Surfing,M,28,Young Adult,XXI
396,2017.0,Surfing,M,17,Teenager,XXI
397,2017.0,Surfing,F,,No category,XXI
398,2017.0,Scuba Diving,M,68,Elder,XXI
399,2017.0,Surfing,F,35,Young Adult,XXI
400,2017.0,Paddle boarding,F,10,Child,XXI
401,2017.0,Swimming,F,21,Young Adult,XXI
402,2017.0,Swimming,M,16,Teenager,XXI
403,2017.0,Swimming,F,51,Adult,XXI
404,2017.0,Kakaying,M,39,Adult,XXI
405,2017.0,Swimming,F,17,Teenager,XXI
406,2017.0,Surfing,M,58,Adult,XXI
407,2017.0,Body boarding,M,30,Young Adult,XXI
408,2017.0,Kayaking,M,,No category,XXI
409,2017.0,Spearfishing,M,25,Young Adult,XXI
410,2017.0,Washing hands,M,58,Adult,XXI
411,2017.0,Fishing,M,,No category,XXI
412,2017.0,Floating,F,,No category,XXI
413,2017.0,Snorkeling,F,,No category,XXI
414,2017.0,Surfing,M,,No category,XXI
415,2017.0,Body boarding,M,26,Young Adult,XXI
416,2017.0,Spearfishing,M,26,Young Adult,XXI
417,2017.0,Swimming,M,22,Young Adult,XXI
418,2017.0,Grabbing shark for a selfie,F,,No category,XXI
419,2017.0,Fishing,M,,No category,XXI
420,2017.0,Fishing,,,No category,XXI
421,2017.0,Scuba Diving,M,37,Adult,XXI
422,2017.0,Swimming,M,21,Young Adult,XXI
423,2017.0,,M,Teen,Teenager,XXI
424,2017.0,Scuba Diving,M,55,Adult,XXI
425,2017.0,Swimming,M,57,Adult,XXI
426,2017.0,,M,,No category,XXI
427,2017.0,Surfing,M,48,Adult,XXI
429,2017.0,Wading,M,47,Adult,XXI
430,2017.0,Wading,M,20,Young Adult,XXI
431,2016.0,Surfing,M,16,Teenager,XXI
432,2016.0,Snorkeling,F,,No category,XXI
433,2016.0,Surf skiing,M,55,Adult,XXI
434,2016.0,Free diving,M,61,Adult,XXI
435,2016.0,Fishing,M,40s,Adult,XXI
436,2016.0,Surfing,M,19,Young Adult,XXI
437,2016.0,Surf fishing,M,20,Young Adult,XXI
438,2016.0,Surfing,M,65,Adult,XXI
439,2016.0,Fishing,M,73,Elder,XXI
440,2016.0,Floating,F,58,Adult,XXI
441,2016.0,Surfing,M,41,Adult,XXI
442,2016.0,Surfing,M,42,Adult,XXI
443,2016.0,Surfing,M,36,Adult,XXI
444,2016.0,Surfing,M,36,Adult,XXI
445,2016.0,Surfing,M,,No category,XXI
446,2016.0,Snorkeling,F,66,Elder,XXI
447,2016.0,Cage Diving,M,,No category,XXI
448,2016.0,Surfing,M,25,Young Adult,XXI
449,2016.0,Surfing,M,29,Young Adult,XXI
450,2016.0,Surfing,M,21,Young Adult,XXI
451,2016.0,Surfng,M,32,Young Adult,XXI
452,2016.0,Surfing,M,17,Teenager,XXI
453,2016.0,Surfing,M,16,Teenager,XXI
454,2016.0,Surfing,M,36,Adult,XXI
455,2016.0,Surfing,M,43,Adult,XXI
456,2016.0,Surfing,M,43,Adult,XXI
457,2016.0,Surfing,M,,No category,XXI
458,2016.0,Surfing,M,,No category,XXI
459,2016.0,Fishing,,,No category,XXI
460,2016.0,Wading,M,60s,Elder,XXI
461,2016.0,Swimming,F,51,Adult,XXI
462,2016.0,Kite surfing,M,50,Adult,XXI
463,2016.0,Boogie boarding,F,12,Teenager,XXI
464,2016.0,Surfing,M,,No category,XXI
465,2016.0,Body boarding,M,9,Child,XXI
466,2016.0,Spearfishing,M,22,Young Adult,XXI
467,2016.0,Cage Diving,,,No category,XXI
468,2016.0,Surfing,M,25,Young Adult,XXI
469,2016.0,Surfing,M,37,Adult,XXI
470,2016.0,Surfing,M,20,Young Adult,XXI
471,2016.0,Wading,M,49,Adult,XXI
472,2016.0,Snorkeling,M,15,Teenager,XXI
473,2016.0,SUP Foil boarding,M,21,Young Adult,XXI
474,2016.0,Surfing,M,22,Young Adult,XXI
475,2016.0,Swimming,M,40,Adult,XXI
476,2016.0,Swimming,M,72,Elder,XXI
477,2016.0,,M,,No category,XXI
478,2016.0,Lobstering,M,43,Adult,XXI
479,2016.0,Surfing,M,18,Young Adult,XXI
480,2016.0,Surfing,M,29,Young Adult,XXI
481,2016.0,Surfing,M,36,Adult,XXI
482,2016.0,Spearfishing,M,,No category,XXI
483,2016.0,Fishing,M,31,Young Adult,XXI
484,2016.0,Fishing,,,No category,XXI
485,2016.0,Surfing,F,9,Child,XXI
486,2016.0,,F,11,Child,XXI
487,2016.0,Kite surfing,M,61,Adult,XXI
488,2016.0,Swimming,M,,No category,XXI
489,2016.0,Scuba Diving,M,,No category,XXI
490,2016.0,Wading,F,10,Child,XXI
491,2016.0,Fishing,M,,No category,XXI
492,2016.0,Fishing,M,59,Adult,XXI
493,2016.0,Fishing,M,,No category,XXI
494,2016.0,Swimming,F,42,Adult,XXI
495,2016.0,Fishing,M,34,Young Adult,XXI
496,2016.0,,M,35,Young Adult,XXI
497,2016.0,Surfing,M,11,Child,XXI
498,2016.0,Scuba Diving,M,59,Adult,XXI
499,2016.0,Spearfishing,M,43,Adult,XXI
500,2016.0,Floating,M,42,Adult,XXI
501,2016.0,Wading,M,,No category,XXI
502,2016.0,Surfing,M,,No category,XXI
503,2016.0,Spearfishing,M,19,Young Adult,XXI
504,2016.0,Floating in tube,F,6,Child,XXI
505,2016.0,Standing,M,19,Young Adult,XXI
506,2016.0,Surfing,M,27,Young Adult,XXI
507,2016.0,Swimming,M,64,Adult,XXI
508,2016.0,Diving,F,60,Adult,XXI
509,2016.0,Swimming,M,23,Young Adult,XXI
510,2016.0,Spearfishing,M,,No category,XXI
511,2016.0,Kite surfing,M,,No category,XXI
512,2016.0,Surfing,M,29,Young Adult,XXI
513,2016.0,Swimming,F,52,Adult,XXI
514,2016.0,Swimming,M,13,Teenager,XXI
515,2016.0,Swimming,F,57,Adult,XXI
516,2016.0,Swimming,F,22,Young Adult,XXI
517,2016.0,Swimming,F,11,Child,XXI
518,2016.0,Swimming,M,48,Adult,XXI
519,2016.0,Teasing a shark,F,23,Young Adult,XXI
520,2016.0,Floating,M,59,Adult,XXI
521,2016.0,Fishing,M,39,Adult,XXI
522,2016.0,Wading,F,33,Young Adult,XXI
523,2016.0,Surfing,M,24,Young Adult,XXI
524,2016.0,Surfing,M,15,Teenager,XXI
525,2016.0,Surf-skiing,M,,No category,XXI
526,2016.0,Swimming,M,12,Teenager,XXI
527,2016.0,Spearfishing,M,22,Young Adult,XXI
528,2016.0,Spearfishing,M,26,Young Adult,XXI
529,2016.0,Spearfishing,M,26,Young Adult,XXI
530,2016.0,Walking,F,69,Elder,XXI
531,2016.0,,M,60,Adult,XXI
532,2016.0,Fishing,M,34,Young Adult,XXI
533,2016.0,SUP,M,,No category,XXI
534,2016.0,Snorkeling,F,46,Adult,XXI
535,2016.0,Surfing,M,22,Young Adult,XXI
536,2016.0,,M,Teen,Teenager,XXI
537,2016.0,Surfing,M,41,Adult,XXI
538,2016.0,,M,9,Child,XXI
539,2016.0,Surfing,,,No category,XXI
540,2016.0,Body surfing,M,19,Young Adult,XXI
541,2016.0,Diving for beche-de-mer,M,45,Adult,XXI
542,2016.0,,M,12,Teenager,XXI
543,2016.0,Fishing,M,,No category,XXI
544,2016.0,Swimming,M,41,Adult,XXI
545,2016.0,Kite surfing,M,21,Young Adult,XXI
546,2016.0,Spearfishing,M,31,Young Adult,XXI
547,2016.0,Wading,F,,No category,XXI
548,2016.0,Feeding stingrays?,M,65,Adult,XXI
549,2016.0,Surfing,M,,No category,XXI
550,2016.0,Walking,F,45,Adult,XXI
551,2016.0,Windsurfing,M,40,Adult,XXI
552,2016.0,Swimming,M,41,Adult,XXI
553,2016.0,Fishing,M,,No category,XXI
554,2016.0,Surfing,M,,No category,XXI
555,2016.0,Surfing,F,15,Teenager,XXI
556,2016.0,Spearfishing,M,,No category,XXI
557,2016.0,Fishing,M,,No category,XXI
558,2016.0,Paddle boarding,M,48,Adult,XXI
559,2016.0,Surfing,M,,No category,XXI
560,2016.0,Wading,M,11,Child,XXI
561,2016.0,Spearfishing,M,31,Young Adult,XXI
562,2015.0,Fishing,M,,No category,XXI
563,2015.0,Swimming,F,38,Adult,XXI
564,2015.0,Paddle boarding,M,71,Elder,XXI
565,2015.0,Surfing,M,43,Adult,XXI
566,2015.0,Scuba diving,M,32,Young Adult,XXI
567,2015.0,Sea disaster,M,58,Adult,XXI
568,2015.0,Fishing,,,No category,XXI
569,2015.0,Lobster fishing,M,26,Young Adult,XXI
