,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N),Time,Species,age_int,age_cat,year_int,century
0,20-Aug-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,F,50,N,11h00,,50,Adult,2020,21
1,14-Aug-2020,2020.0,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, Port Macquarie",Surfing,F,35,N,09h30,"White shark, 2-to 3m",35,Young Adult,2020,21
2,10-Aug-2020,2020.0,Provoked,USA,Florida,"Off Gasparilla Island, Charlotte County",Fishing,M,55,N,16h00,"Blacktip shark, 6'",55,Adult,2020,21
3,02-Aug-2020,2020.0,Unprovoked,USA,Virgin Islands,"Candle Reef, St. Croix",Snorkeling,F,,N,14h00,"Nurse shark, 5'",-1,-,2020,21
4,31-Jul-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,22,N,17h00,,22,Young Adult,2020,21
5,31-Jul-2020,2020.0,Unprovoked,USA,Alabama,"Orange Beach, Baldwin County",Swimming,M,14,N,13h00,Blacktip or Spinner shark,14,Teenager,2020,21
6,31-Jul-2020,2020.0,Unprovoked,AUSTRALIA,Western Australia,Bunker Bay Beach,Surfing,M,28,N,14h15,"White shark, 4m",28,Young Adult,2020,21
7,29-Jul-2020,2020.0,Unprovoked,USA,Florida,Florida Keys,Diving,M,38,N,,"Lemon shark, 8'",38,Adult,2020,21
9,27-Jul-2020,2020.0,Unprovoked,FRENCH POLYNESIA,Tuamotu Islands,Tikehau,Swimming,M,4,N,Evening,"Blacktip reef shark, juvenile",4,Child,2020,21
10,27-Jul-2020,2020.0,Unprovoked,USA,Maine,"Bailey Island, Cumberland County",Swimming,F,63,Y,15h59,"White shark, 11'?",63,Adult,2020,21
11,23-Jul-2020,2020.0,Unprovoked,USA,Bahamas,Spanish Cay,Spearfishing,M,23,N,12h00,"Reef shark, 5' to 6 '",23,Young Adult,2020,21
12,23-Jul-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,11,N,,,11,Child,2020,21
13,22-Jul-2020,2020.0,Unprovoked,USA,North Carolina,"Neuse River, Craven County",Treading water,M,,N,17h30,Bull shark. 6.5',-1,-,2020,21
14,19-Jul-2020,2020.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,12,N,Afternoon,,12,Child,2020,21
15,17-Jul-2020,2020.0,Unprovoked,AUSTRALIA,Tasmania,Off Stanley,Fishing,M,10,N,13h30,White shark,10,Child,2020,21
16,14-Jul-2020,2020.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Wading,F,14,N,,"Bull shark, 4' to 6'",14,Teenager,2020,21
17,13-Jul-2020,2020.0,Unprovoked,AUSTRALIA,Queensland,Fitzroy Island,Snorkeling,F,29,N,11h45,2 m shark,29,Young Adult,2020,21
18,11-Jul-2020,2020.0,Unprovoked,AUSTRALIA,New South Wales,Wilsons Headland,Surfing,M,15,Y,14h30,"White shark, 2.5 m",15,Teenager,2020,21
19,04-Jul-2020,2020.0,Unprovoked,AUSTRALIA,Queensland,Fraser Island,Spearfishing,M,36,Y,14h00,,36,Adult,2020,21
20,22-Jun-2020,2020.0,Unprovoked,USA,Florida,"Homestead, Miami-Dade County",Playing,M,7,N,,Juvenile bull shark?,7,Child,2020,21
21,20-Jun-2020,2020.0,Unprovoked,USA,North Carolina,"Salvo, Dare County",Body Surfing,M,16,N,16h00,,16,Teenager,2020,21
23,10-Jun-2020,2020.0,Unprovoked,NEW CALEDONIA,South Province,"Plateau de Ricaudy, Nouméa",Windsurfing,M,30,Y,Afternoon,Tiger shark,30,Young Adult,2020,21
24,07-Jun-2020,2020.0,Unprovoked,AUSTRALIA,New South Wales,Salt Beach near Kingscliff,Surfing,M,60,Y,10h40,"White shark, 3.5 m",60,Adult,2020,21
25,06-Jun-2020,2020.0,Unprovoked,AUSTRALIA,Western Australia,"Tantabitti Beach, Nigaloo",,F,,,,,-1,-,2020,21
26,04-Jun-2020,2020.0,,USA,Delaware,"Herring Point, Sussex County",Skimboarding,M,12,N,13h00,Shark involvement unconfirmed but considered probable,12,Child,2020,21
27,01-Jun-2020,2020.0,Unprovoked,USA,Hawaii,"Davidsons Beach, Kauai",Surfing,M,,N,08h30,Tiger shark?,-1,-,2020,21
28,31-May-2020,2020.0,Unprovoked,BAHAMAS,Abaco Islands,NoName Cay,Spearfishing,M,,N,,"Bull shark, 8'",-1,-,2020,21
29,30-May-2020,2020.0,Unprovoked,AUSTRALIA,Queensland,Lucinda,Spearfishing,M,18,N,,Bull shark,18,Young Adult,2020,21
30,28-May-2020,2020.0,Unprovoked,THAILAND,"Muang district of Satun province, ",Chebilang pier ,Playing,M,12,N,,Bull shark,12,Child,2020,21
31,26 May 2020,2020.0,Unprovoked,SPAIN,Canary Islands,"Famara Beach, Lanzarote",Playing,M,9,N,,Angel shark,9,Child,2020,21
33,09-May-2020,2020.0,Unprovoked,USA,California,"Sand Dollar Beach, Santa Cruz County",Surfing,M,26,Y,13h30,White shark,26,Young Adult,2020,21
34,08-May-2020,2020.0,Unprovoked,AUSTRALIA,Victoria,"Southside Beach, near Geelong",Surfing,M,,N,16h00,,-1,-,2020,21
35,01-May-2020,2020.0,Unprovoked,USA,California,"Summerland, Santa Barbara County",Swimming,F,57,N,14h30,5' to 6' shark,57,Adult,2020,21
36,29-Apr-2020,2020.0,,USA,California,"Moonlight Beach, San Diego County",Body Boarding,M,16,N,17h45,,16,Teenager,2020,21
37,21-Apr-2020,2020.0,Unprovoked,AUSTRALIA,New South Wales,Killick Creek near Crescent Head,Swimming,F,,N,08h00,,-1,-,2020,21
38,07-Apr-2020,2020.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,F,,N,10h00,"Bull shark, 6'",-1,-,2020,21
39,06-Apr-2020,2020.0,Unprovoked,AUSTRALIA,Queensland,North West Island,Swimming,M,23,Y,17h30,,23,Young Adult,2020,21
40,06-Apr-2020,2020.0,Unprovoked,AUSTRALIA,New South Wales,Wamberal Beach,Surfing,M,38,N,10h00,6' shark,38,Adult,2020,21
41,27-Mar-2020,2020.0,Unprovoked,USA,California,"Pleasure Point, Santa Cruz County",Stand-Up Paddleboarding,M,Teen,N,Evening,,-1,-,2020,21
42,22-Mar-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,,N,12h20,,-1,-,2020,21
43,22-Mar-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,,N,10h50,,-1,-,2020,21
44,21-Mar-2020,2020.0,Unprovoked,AUSTRALIA,Queensland,Cairns,,F,,N,Midday,,-1,-,2020,21
45,Reported 14-Mar-2020,2020.0,Provoked,NEW ZEALAND,North Island,"Stanmore Bay, Auckland",Kayak fishing,M,,N,,"White shark, 2.5 to 3 m",-1,-,2020,21
46,02-Mar-2020,2020.0,Unprovoked,FIJI,Vanua Levu,"Tawake, Cakaudrove",Spearfishing,M,26,N,Early Morning,,26,Young Adult,2020,21
47,22-Feb-2020,2020.0,Unprovoked,NEW ZEALAND,North Island,Pauanui Beach,Surfing,M,60,N,11h30,White shark,60,Adult,2020,21
49,01-Feb-2010,2020.0,Unprovoked,MARQUESAS,Ua Huka,,Canoeing,M,,N,06h30,,-1,-,2020,21
50,Reported 30-Jan-2020,2020.0,Provoked,BAHAMAS,Exumas,,Floating ,F,24,N,,,24,Young Adult,2020,21
51,17-Jan-2020,2020.0,Unprovoked,AUSTRALIA,New South Wales,Windang Beach,Surfing,M,59,N,08h00,"""A small shark""",59,Adult,2020,21
52,16-Jan-2020,2020.0,Unprovoked,NEW ZEALAND,Southland,Oreti Beach,Surfing,F,13,N,20h30,Broadnose seven gill shark?,13,Teenager,2020,21
53,13-Jan-2020,2020.0,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Surfing,M,26,N,14h33,,26,Young Adult,2020,21
54,12-Jan-2020,2020.0,Unprovoked,THAILAND,Phang Nga Province,Nang Thong Beach,Swimming,M,75,N,07h15,,75,Elder,2020,21
55,07-Jan-2020,2020.0,Unprovoked,AUSTRALIA,Queensland,North West Island,Swimming,F,7,N,17h30,Lemon shark,7,Child,2020,21
56,05-Jan-2020,2020.0,Unprovoked,AUSTRALIA,Western Australia,Cull Island / Esperance,Scuba diving,M,57,Y,13h00,White shark,57,Adult,2020,21
57,03-Jan-2020,2020.0,Unprovoked,NEW CALEDONIA,,Calana,,M,12,N,Afternoon,,12,Child,2020,21
58,02-Jan-2020,2020.0,Questionable,AUSTRALIA,Western Australia,Esperance,Swimming after being swept off rocks,M,21,Y,16h10,,21,Young Adult,2020,21
59,30-Dec-2019,2019.0,Unprovoked,AUSTRALIA,Queensland,North West Island,Swimming,M,30s,N,12h58,"Shovelnose ""shark"" which is a ray, not a shark)",-1,-,2019,21
60,28-Dec-2019,2019.0,Unprovoked,SEYCHELLES,Praslin,Amitié Beach,Swimming,F,45,N,19h00,,45,Adult,2019,21
61,26-Dec-2019,2019.0,Unprovoked,PAPUA NEW GUINEA,Central Province,Ragelapara reef ,Spearfishing,M,33,Y,16h30,,33,Young Adult,2019,21
62,26-Dec-2019,2019.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surf skiing ,M,,N,07h00,,-1,-,2019,21
63,24-Dec-2019,2019.0,Unprovoked,NEW ZEALAND,Southland,Oreti Beach,Boogie boarding,F,17,N,"""Evening""",,17,Teenager,2019,21
64,21-Dec-2019,2019.0,Unprovoked,USA,California,"Santa Rosa Island, Ventura County",Surfing,M,37,N,16h15,,37,Adult,2019,21
66,12-Dec-2019,2019.0,Questionable,REUNION ISLAND,,,Kayaking,M,70,F,,3.4 m tiger shark,70,Elder,2019,21
67,06-Dec-2019,2019.0,Unprovoked,AUSTRALIA,Western Australia,Exmouth,Free diving,M,57,N,09h00,,57,Adult,2019,21
68,03-Dec-2019,2019.0,Unprovoked,USA,Hawaii,"Cove Park, Kihei, Maui",Stand-Up Paddleboarding,M,57,N,10h00,10'-12' tiger shark,57,Adult,2019,21
69,30-Nov-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,9,N,,Juvenile blacktip shark,9,Child,2019,21
70,30-Nov-2019,2019.0,Unprovoked,AUSTRALIA,Queensland,Bargara,Snorkeling,M,30,N,18h00,,30,Young Adult,2019,21
71,23-Nov-2019,2019.0,Questionable,AUSTRALIA,Queensland,"Elliot Head, near Bundaberg.",Spearfishing,M,38,F,,,38,Adult,2019,21
72,23-Nov-2019,2019.0,Provoked,MEXICO,Guerrero,Off Barra Vieja,Fishing,M,,N,15h00,,-1,-,2019,21
73,22-Nov-2019,2019.0,Unprovoked,ISRAEL,,Haifa,Snorkeling,M,,N,,,-1,-,2019,21
74,14-Nov-2019,2019.0,Provoked,FRENCH POLYNESIA,Moorea,Afareitu Lagoonarium.,Feeding sharks,M,9,N,,5' blacktip shark,9,Child,2019,21
75,12-Nov-2019,2019.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,M,30,N,,4' to 5' blacktip shark,30,Young Adult,2019,21
76,11-Nov-2019,2019.0,Unprovoked,MEXICO,Baja ,Magdalena Bay,Snorkeling,M,23,N,,,23,Young Adult,2019,21
77,09-Nov-2019,2019.0,Watercraft,SOUTH AFRICA,Eastern Cape Province,East London,Kayaking fishing,M,,N,06h50,"White shark, 4 m",-1,-,2019,21
78,06-Nov-2019,2019.0,Unprovoked,USA,California,"San Onofre, San Diego County ",Surfing,F,,N,08h00,Juvenile white shark?,-1,-,2019,21
79,02-Nov-2019,2019.0,Questionable,REUNION ISLAND,Saint-Gilles,L’Hermitage Lagoon,Snorkeling,M,44,Y,,10' tiger shark,44,Adult,2019,21
80,29-Oct-2019,2019.0,Unprovoked,AUSTRALIA,Queensland,"Off Airlie Beach, Whitsundays",Snorkeling,M,28 & 22,N,10h20,Tiger shark,-1,-,2019,21
81,27-Oct-2019,2019.0,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,32,N,12h45,4' to 5' shark,32,Young Adult,2019,21
82,21-Oct-2019,2019.0,Unprovoked,FRENCH POLYNESIA,Moorea,Opunohu Bay,Snorkeling,F,35,,11h30,Oceanic whitetip shark,35,Young Adult,2019,21
83,17-Oct-2019,2019.0,Unprovoked,AUSTRALIA,Queensland,"Woorim Beach, Bribie Island,",Surfing,M,17,N,17h30,7' shark,17,Teenager,2019,21
84,08-Oct-2019,2019.0,Unprovoked,USA,Florida,"Fort Pierce, St. Lucie County",Surfing,M,20,N,12h00,,20,Young Adult,2019,21
85,05-Oct-2019,2019.0,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,M,29,N,16h00,"White shark, 3.5 m",29,Young Adult,2019,21
86,05-Oct-2019,2019.0,Watercraft,USA,California,"Ship Rock near Catalina, Los Angeles County",Kayaking,M,51,N,16h30,White shark,51,Adult,2019,21
87,Reported 04-Oct-2019,2019.0,Unprovoked,USA,Guam,Talofofo Bay ,Surfing,M,,N,,Juvenile shark,-1,-,2019,21
88,28-Sep-2019,2019.0,Provoked,AUSTRALIA,Northern Territory ,"Nightcliff Jetty, Darwin",Fishing,M,45,N,Afternoon,1+ m shark,45,Adult,2019,21
89,26-Sep-2019,2019.0,Unprovoked,USA,Hawaii,"Kihei, South Maui",Surfing,F,,N,09h15,6' to 7' shark,-1,-,2019,21
90,24-Sep-2019,2019.0,Unprovoked,USA,Florida,"Huguenot Park, Jacksonville, Duval County",Swimming,M,,N,17h00,,-1,-,2019,21
91,24-Sep-2019,2019.0,Unprovoked,USA,Florida,"Satellite Beach, Brevard County",Surfing,M,13,N,16h30,2' shark,13,Teenager,2019,21
93,15-Sep-2019,2019.0,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",,F,22,N,,,22,Young Adult,2019,21
94,07-Sep-2019,2019.0,Unprovoked,AUSTRALIA,Western Australia,"Burns Beach, Perth",Spearfishing,M,,N,09h00,14' white shark,-1,-,2019,21
95,31-Aug-2019,2019.0,Unprovoked,USA,Cayman Islands,Grand Cayman,Spearfishing,M,70,N,,Nurse shark,70,Elder,2019,21
96,31-Aug-2019,2019.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,M,60s,N,Afternoon,,-1,-,2019,21
97,27-Aug-2019,2019.0,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,40,N,11h55,6.5' shark,40,Adult,2019,21
98,21-Aug-2019,2019.0,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Wading,M,11,N,09h00,,11,Child,2019,21
99,20-Aug-2019,2019.0,Unprovoked,USA,Hawaii,"Napoopoo Park in Kealakekua Bay, The Big Island",Swimming/ Treading water,F,26,N,08h00,,26,Young Adult,2019,21
100,16-Aug-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,9,N,11h00,,9,Child,2019,21
101,11-Aug-2019,2019.0,Unprovoked,USA,Hawaii,"Makaha Beach, Oahu",Surfing,M,16,N,19h30,10' to 12' shark,16,Teenager,2019,21
102,04-Aug-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,51,N,15h00,,51,Adult,2019,21
103,03-Aug-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,21,N,16h00,,21,Young Adult,2019,21
104,03-Aug-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,N,15h30,,20,Young Adult,2019,21
105,03-Aug-2019,2019.0,Unprovoked,USA,Florida,Off Key Biscayne,Spearfishing / Diving,M,37,N,,,37,Adult,2019,21
106,29-Jul-2019,2019.0,Unprovoked,USA,Hawaii,Molokai Channel/,Swimming,M,49,N,22h20,Cookiecutter shark,49,Adult,2019,21
107,30-Jul-2019,2019.0,Provoked,USA,North Carolina,"Off Cape Hatteras, Dare County",Fishing ,M,,N,,"Blacktip shark, 5' ",-1,-,2019,21
108,29-Jul-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,N,13h30,,18,Young Adult,2019,21
109,28-Jul-2019,2019.0,Unprovoked,AUSTRALIA,Queensland,Magra Islet,Snorkeling,F,,,18h30,,-1,-,2019,21
110,27-Jul-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,49,N,16h30,,49,Adult,2019,21
111,22-Jul-2019,2019.0,Unprovoked,USA,Rhode Island,"Moonstone Beach, South Kingstown, Washington County",Surfing,M,18,N,18h30,Sandtiger shark,18,Young Adult,2019,21
112,27-Jul-2019,2019.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,23,N,,Blacktip or Spinner shark,23,Young Adult,2019,21
114,Reported 17-Jul-2019,2019.0,Unprovoked,NEW ZEALAND,Chatham Islands,Pitt Island or Chatham Island,Scuba diving,M,45,N,Morning,"White shark, 3m",45,Adult,2019,21
115,16-Jul-2019,2019.0,Unprovoked,USA,North Carolina,"Sunset Beach, Brunswick County",Body-surfing,F,,N,16h30,shark pup,-1,-,2019,21
116,12-Jul-2019,2019.0,Unprovoked,USA,Florida,"Amelia Island, Nassau County",Boogie boarding,F,16,N,07h30,,16,Teenager,2019,21
117,10-Jul-2019,2019.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,M,20's,N,10h30,"White shark, juvenile",-1,-,2019,21
118,09-Jul-2019,2019.0,Unprovoked,AUSTRALIA,Queensland,"Pelican Waters, Caloundra",Paddle boarding,M,43,N,08h00,Bull shark pup,43,Adult,2019,21
119,06-Jul-2019,2019.0,Provoked,MEXICO,Quinta Roo,Cabo Catoche ,Fishing,M,,N,,,-1,-,2019,21
120,04-Jul-2019,2019.0,Unprovoked,BAHAMAS,Abaco Islands,Great Guana Cay,Snorkeling,M,32,N,17h30,,32,Young Adult,2019,21
121,30-Jun-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,N,16h30,,18,Young Adult,2019,21
122,26-Jun-2019,2019.0,Unprovoked,BAHAMAS,Lucayan Archipelago,Rose Island,Snorkeling,F,21,Y,14h00,,21,Young Adult,2019,21
123,21-Jun-2019,2019.0,Unprovoked,BAHAMAS,Abaco Islands,,Spearfishing,M,,N,,,-1,-,2019,21
124,17-Jun-2019,2019.0,Unprovoked,BAHAMAS,,Wells Cay,Snorkeling,M,50,,,,50,Adult,2019,21
125,16-Jun-2019,2019.0,Unprovoked,USA,North Carolina,"Bald Head Island, Brunswick County",Swimming,M,8,N,16h00,,8,Child,2019,21
126,16-Jun-2019,2019.0,Unprovoked,USA,Georgia,"Wilmington River, Chatham County",Swimming,M,64,N,09h00,"Bull shark, 4' to 5'",64,Adult,2019,21
127,10-Jun-2019,2019.0,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Surfing,M,19,N,14h00,,19,Young Adult,2019,21
128,Reported 06-Jun-2019,2019.0,Unprovoked,AUSTRALIA,Tasmania,Maatsuyker Island ,Abalone diving,M,,N,,,-1,-,2019,21
129,05-Jun-2019,2019.0,Unverified,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,,N,13h00,,-1,-,2019,21
130,02-Jun-2019,2019.0,Unprovoked,USA,North Carolina,"Fort Macon State Beach, Carteret County",Standing,F,17,N,12h20,,17,Teenager,2019,21
131,29-May-2019,2019.0,Unprovoked,NEW CALEDONIA,Bélep Islands,Cook Reef,Fishing,M,43,Y,,,43,Adult,2019,21
132,25-May-2019,2019.0,Unprovoked,USA,Hawaii,"Honokowai Point, Maui",Swimming,M,65,Y,08h48,,65,Adult,2019,21
133,25-May-2019,2019.0,Unprovoked,NEW CALEDONIA,Noumea,Port South Marina,Swimming,M,10,N,16h00,"Bull shark, 3.5 m",10,Child,2019,21
134,20-May-2019,2019.0,Unprovoked,USA,New Jersey,"Ship Bottom, Ocean County",Body Boarding,M,67,N,,Shark involvement unconfirmed but considered probable,67,Elder,2019,21
135,17-May-2019,2019.0,Unprovoked,FIJI,,Beqa,Scuba diving,M,,N,,"Tiger shark, 4m to 5m",-1,-,2019,21
136,14-May-2019,2019.0,Unprovoked,USA,Hawaii,"Browns, Oahu",Surfing,M,,N,08h30,8' shark,-1,-,2019,21
137,14-May-2019,2019.0,Unprovoked,AUSTRALIA,Queensland,Yandaran Beach,Body Surfing,M,53,N,16h21,,53,Adult,2019,21
138,09-May-2018,2019.0,Unprovoked,REUNION ISLAND,, Saint Leu,Surfing,M,28,Y,16h26,,28,Young Adult,2019,21
139,08-May-2019,2019.0,Unprovoked,USA,Hawaii,O'ahu,Swimming with sharks,F,34,N,09h00,,34,Young Adult,2019,21
140,07-May-2019,2019.0,Unprovoked,USA,California,"North Salmon Creek Beach, Sonoma County",Surfing,F,28,N,,White shark,28,Young Adult,2019,21
141,04-May-2019,2019.0,Provoked,BRAZIL,Fernando de Noronha,Praia de Porto,Fishing,M,12,N,,Lemon shark pup,12,Child,2019,21
142,01-May-2019,2019.0,Unprovoked,USA,Florida,"Off Boca Grande, Lee County",Fishing,M,,N,18h45,,-1,-,2019,21
143,Reported 27-Apr-2019,2019.0,Unprovoked,AUSTRALIA,New South Wales,Tomaree,Spearfishing,M,18,N,14h00,"Grey nurse shark, 3 m female",18,Young Adult,2019,21
144,23-Apr-2019,2019.0,Unprovoked,USA,Hawaii,"Anaehoomalu Bay, Hawaii",Kayaking,F,65,N,08h30,Tiger shark,65,Adult,2019,21
145,21-Apr-2019,2019.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,M,25,N,17h30,,25,Young Adult,2019,21
146,12-Apr-2019,2019.0,Questionable,USA,Florida,"Crescent Beach, St Johns County",Boogie boarding,F,10,N,17h45,,10,Child,2019,21
147,06-Apr-2019,2019.0,Questionable,USA,Hawaii,"North Koahala, Big Island",Picking opihi,M,58,N,Night,Tiger shark,58,Adult,2019,21
148,06-Apr-2019,2019.0,Unprovoked,USA,Hawaii,Kaiwi Channel,Swimming,M,23,N,01h00,Cookiecutter shark,23,Young Adult,2019,21
149,05-Apr-2019,2019.0,Provoked,CHINA,Liaoning Province,"Laohutan Ocean Park Aquarium, Dalian City",Diving in shark tank,F,,N,,Sand tiger shark,-1,-,2019,21
150,26-Mar-2019,2019.0,Watercraft,USA,Hawaii,Waikoloa area,Paddling an outrigger canoe,M,74,N,10h00,12' shark,74,Elder,2019,21
151,25-Mar-2019,2019.0,Unprovoked,AUSTRALIA,Queensland,Line Reef,Swimming,M,25,N,12h30,"Grey reef shark, 4' ",25,Young Adult,2019,21
152,22-Mar-2019,2019.0,Unprovoked,USA,Florida,"Hobe Sound, Martin County",Surfing,M,46,N,16h00,4' shark,46,Adult,2019,21
153,21-Mar-2019,2019.0,Unprovoked,MEXICO,Guerrero,Troncones,Swimming,M,32,N,17h30,,32,Young Adult,2019,21
154,16-Mar-2019,2019.0,Unprovoked,USA,Hawaii,Kaiwi Channel,Swimming,M,58,N,03h00,Cookiecutter shark,58,Adult,2019,21
155,12-Mar-2019,2019.0,Unprovoked,USA,Florida,"Stuart Beach, Martin County",Boogie boarding,M,11,N,14h00,Spinner shark,11,Child,2019,21
156,05-Mar-2019,2019.0,Unprovoked,USA,Oregon,"Cape Kiwanda, Tillamook County",Surfing,M,,N,08h30,,-1,-,2019,21
157,05-Mar-2019,2019.0,Provoked,SOUTH AFRICA,Eastern Cape Province,30 nm off Port Elizabeth,Fishing,M,46,N,16h00,2.5 m shark,46,Adult,2019,21
158,17-Feb-2019,2019.0,Unprovoked,AUSTRALIA,New South Wales,Belongil Bay,Surfing,M,41,N,06h40,,41,Adult,2019,21
159,14-Feb-2019,2019.0,Unprovoked,BRAZIL,Fernando de Noronha,Cacimba do Padre,Surfing,M,31,N,17h30,Lemon shark,31,Young Adult,2019,21
160,10-Feb-2019,2019.0,Unprovoked,AUSTRALIA,Northern Territory ,Groote Eylandt,Spearfishing,M,25,N,,"Reef shark, ",25,Young Adult,2019,21
161,04-Feb-2019,2019.0,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,,N,13h40,Tiger shark,-1,-,2019,21
162,04-Feb-2019,2019.0,Unprovoked,AUSTRALIA,New South Wales,Urunga area,Surfing,M,50,N,06h15,,50,Adult,2019,21
163,02-Feb-2019,2019.0,Watercraft,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Fishing,M,,N,,,-1,-,2019,21
164,02-Feb-2019,2019.0,Unprovoked,USA,Florida,Key Biscayne,Spearfishing,M,50,N,10h00,Bull shark,50,Adult,2019,21
165,30-Jan-2019,2019.0,Unprovoked,REUNION ISLAND,,Sainte-Rose at the mouth of Riviere de l'Est,Fishing,M,41,Y,09h15,,41,Adult,2019,21
166,29-Jan-2019,2019.0,Invalid,NEW ZEALAND,South Island,Oreti Beach,Boogie boarding,F,17,N,Evening,Reported as shark bite but injury caused by stingray,17,Teenager,2019,21
167,14-Jan-2019,2019.0,Unprovoked,AUSTRALIA,Western Australia,North Cottesloe ,Swimming,F,15,N,11h30,Wobbegong shark,15,Teenager,2019,21
168,10-Jan-2019,2019.0,Invalid,AUSTRALIA,Queensland,"Catseye Beach, Hamilton Island, Whitsundays",Wading,F,9 & 60,N,09h30,Reported as shark attacks but injuries caused by toadfish,-1,-,2019,21
169,8-Jan-2019,2019.0,Unprovoked,USA,California,"Sandspit Beach, Montaña de Oro State Park ",Surfing,M,19,N,10h00,"White shark, 4.6m",19,Young Adult,2019,21
170,18-Dec-2018,2018.0,Unprovoked,MEXICO,Sonora,Southeast of Puerto Peñasco ,Diving,M,35,Y,11h00,Tiger shark,35,Young Adult,2018,21
171,15-Dec-2018,2018.0,Provoked,AUSTRALIA,New South Wales,,,M,48,N,11h00,Wobbegong shark,48,Adult,2018,21
172,15-Dec-2018,2018.0,Unprovoked,NEW ZEALAND,North Island,Matauri Bay,Spearfishing,M,24,N,11h20,"Mako shark, 7'",24,Young Adult,2018,21
173,09-Dec-2018,2018.0,Unprovoked,NEW ZEALAND,North Island,Ti Point,Spearfishing,M,50,N,08h00,Bronze whaler 2.5m,50,Adult,2018,21
174,09-Dec-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales ,Nambucca,Surfing,M,36,N,07h15,,36,Adult,2018,21
175,28-Nov-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,South Steyne,Surfing,M,20s,N,18h30,Wobbegong shark,-1,-,2018,21
176,24-Nov-2018,2018.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,48,N,17h00,,48,Adult,2018,21
177,18-Nov-2018,2018.0,Unprovoked,AUSTRALIA,Northern Territory ,Off Nhulunbuy,Spearfishing,M,17,N,Before 10h00,Reef shark x 2,17,Teenager,2018,21
178,17-Nov-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"7 Mile Beach, Gerroa",Surfing,M,24,N,13h00,,24,Young Adult,2018,21
179,14-Nov-2018,2018.0,Watercraft,AUSTRALIA,Queensland,Moffat Beach,Kayaking,M,31,N,06h50,"Tiger shark, 13'",31,Young Adult,2018,21
180,11-Nov-2018,2018.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Tinley Manor,Fishing,M,41,N,Morning,"White shark, 3m",41,Adult,2018,21
181,11-Nov-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Mandurah",Body Boarding,M,20,N,08h40,Sandtiger shark,20,Young Adult,2018,21
182,09-Nov-2018,2018.0,Unprovoked,BAHAMAS,Exumas,Compass Cay,Swimming,M,8,N,13h30,Nurse shark,8,Child,2018,21
