artist,sp_id,spotify_artist,sp_genres,sp_popularity,sp_followers
Trill Ryan,0Br4l2km0ic7BSsNh1E5h4,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Br4l2km0ic7BSsNh1E5h4'}, 'followers': {'href': None, 'total': 6063}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/0Br4l2km0ic7BSsNh1E5h4', 'id': '0Br4l2km0ic7BSsNh1E5h4', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/9a3b83744af6f7d1f4d3637459a72920b61d756e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/38ac32890a55fe591356607ccda5546db179d6f6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/5930cb614ce5c926a8e14789ed64890300fbe1a6', 'width': 160}], 'name': 'Trill Ryan', 'popularity': 55, 'type': 'artist', 'uri': 'spotify:artist:0Br4l2km0ic7BSsNh1E5h4'}",[],55,6063
DeJ Loaf,7kFfY4UjNdNyaeUgLIEbIF,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/7kFfY4UjNdNyaeUgLIEbIF'}, 'followers': {'href': None, 'total': 1205497}, 'genres': ['detroit hip hop', 'pop r&b', 'pop rap', 'rap', 'trap', 'trap queen'], 'href': 'https://api.spotify.com/v1/artists/7kFfY4UjNdNyaeUgLIEbIF', 'id': '7kFfY4UjNdNyaeUgLIEbIF', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/c36a96bbe00897ed3889dbe31759e79c06a6ba4d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/d8b17d011819d63e4a4d71c863e3574562f34765', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/31d60317a594567b53bb4a4638f8046cfb95f6b4', 'width': 160}], 'name': 'DeJ Loaf', 'popularity': 70, 'type': 'artist', 'uri': 'spotify:artist:7kFfY4UjNdNyaeUgLIEbIF'}","['detroit hip hop', 'pop r&b', 'pop rap', 'rap', 'trap', 'trap queen']",70,1205497
Big Sean,0c173mlxpT3dSFRgMO8XPh,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh'}, 'followers': {'href': None, 'total': 7678069}, 'genres': ['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'], 'href': 'https://api.spotify.com/v1/artists/0c173mlxpT3dSFRgMO8XPh', 'id': '0c173mlxpT3dSFRgMO8XPh', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/c34667b11ae7fe716a8bcbf14ecc4683da255542', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/7e2a03c353f427464c0bce9427aa6ca6a1e2808e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/e1e99a69cc520d4e2f7b55d5af98d5fcec101f4b', 'width': 160}], 'name': 'Big Sean', 'popularity': 87, 'type': 'artist', 'uri': 'spotify:artist:0c173mlxpT3dSFRgMO8XPh'}","['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",87,7678069
Kesha,6LqNN22kT3074XbTVUrhzX,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6LqNN22kT3074XbTVUrhzX'}, 'followers': {'href': None, 'total': 5783525}, 'genres': ['dance pop', 'electropop', 'pop', 'post-teen pop'], 'href': 'https://api.spotify.com/v1/artists/6LqNN22kT3074XbTVUrhzX', 'id': '6LqNN22kT3074XbTVUrhzX', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/282055081bba71c1f715c6459de13d12fb4373d5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/1ff77be1c42cfacecbcb22b6965e8ae9c39c0c12', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ceff67562edd8f597d3cfc0d607c438960944b0d', 'width': 160}], 'name': 'Kesha', 'popularity': 80, 'type': 'artist', 'uri': 'spotify:artist:6LqNN22kT3074XbTVUrhzX'}","['dance pop', 'electropop', 'pop', 'post-teen pop']",80,5783525
Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/7uaIm6Pw7xplS8Dy06V6pT'}, 'followers': {'href': None, 'total': 461916}, 'genres': ['alternative r&b', 'melodic rap', 'pop rap'], 'href': 'https://api.spotify.com/v1/artists/7uaIm6Pw7xplS8Dy06V6pT', 'id': '7uaIm6Pw7xplS8Dy06V6pT', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/42dce8deb4dae01e1b39964981d099c92dff1902', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/683e76307968ca603ae77b26b1fe641c62206261', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/55148605ce5288d172a813a17d744581305cd7ff', 'width': 160}], 'name': 'Trevor Daniel', 'popularity': 81, 'type': 'artist', 'uri': 'spotify:artist:7uaIm6Pw7xplS8Dy06V6pT'}","['alternative r&b', 'melodic rap', 'pop rap']",81,461916
Ashnikko,3PyJHH2wyfQK3WZrk9rpmP,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/3PyJHH2wyfQK3WZrk9rpmP'}, 'followers': {'href': None, 'total': 338730}, 'genres': ['electropop', 'escape room', 'pop'], 'href': 'https://api.spotify.com/v1/artists/3PyJHH2wyfQK3WZrk9rpmP', 'id': '3PyJHH2wyfQK3WZrk9rpmP', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/b25d90a5a4ea803b3f7d07844f4eb9f30f30f3c9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/c8346776080ae0bd68c44a64d88119fa8cca9f58', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/a9c5d19003dbf3524886d918615b7cc07741171e', 'width': 160}], 'name': 'Ashnikko', 'popularity': 74, 'type': 'artist', 'uri': 'spotify:artist:3PyJHH2wyfQK3WZrk9rpmP'}","['electropop', 'escape room', 'pop']",74,338730
Sub Urban,7gXb99Sf9nNmpNYeAgIQFG,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/7gXb99Sf9nNmpNYeAgIQFG'}, 'followers': {'href': None, 'total': 460539}, 'genres': ['modern indie pop'], 'href': 'https://api.spotify.com/v1/artists/7gXb99Sf9nNmpNYeAgIQFG', 'id': '7gXb99Sf9nNmpNYeAgIQFG', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/0f32852300cf6fff640731fec6321d4573368175', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/f392fbfd45af13b8ffb09e01fdd5601bccfc25ad', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/fbee5047a1639aa8deda0fbffe0c802705c03824', 'width': 160}], 'name': 'Sub Urban', 'popularity': 74, 'type': 'artist', 'uri': 'spotify:artist:7gXb99Sf9nNmpNYeAgIQFG'}",['modern indie pop'],74,460539
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m'}, 'followers': {'href': None, 'total': 19823819}, 'genres': ['latin', 'latin hip hop', 'reggaeton', 'tropical'], 'href': 'https://api.spotify.com/v1/artists/4VMYDCV2IEDYJArk749S6m', 'id': '4VMYDCV2IEDYJArk749S6m', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/f03d0c7a47bf08cb4ae8de345521346553bc015f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/00ede3ad95b95b53d8da0cbe9b9973161d8e7425', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/a5ada97e9e510f82c1b4325f5ee2e9d351a5d725', 'width': 160}], 'name': 'Daddy Yankee', 'popularity': 92, 'type': 'artist', 'uri': 'spotify:artist:4VMYDCV2IEDYJArk749S6m'}","['latin', 'latin hip hop', 'reggaeton', 'tropical']",92,19823819
Oro Solido,7wLYNBd1fXGEKSLJMNnlt4,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/7wLYNBd1fXGEKSLJMNnlt4'}, 'followers': {'href': None, 'total': 91774}, 'genres': ['latin', 'merengue', 'tropical'], 'href': 'https://api.spotify.com/v1/artists/7wLYNBd1fXGEKSLJMNnlt4', 'id': '7wLYNBd1fXGEKSLJMNnlt4', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734466e071b0d0a55da1d4b0f5', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024466e071b0d0a55da1d4b0f5', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514466e071b0d0a55da1d4b0f5', 'width': 64}], 'name': 'Oro Solido', 'popularity': 55, 'type': 'artist', 'uri': 'spotify:artist:7wLYNBd1fXGEKSLJMNnlt4'}","['latin', 'merengue', 'tropical']",55,91774
BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Cp8WN4V8Tu4QJQwCN5Md4'}, 'followers': {'href': None, 'total': 436830}, 'genres': ['indie r&b', 'nz pop', 'pop'], 'href': 'https://api.spotify.com/v1/artists/0Cp8WN4V8Tu4QJQwCN5Md4', 'id': '0Cp8WN4V8Tu4QJQwCN5Md4', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/cf1265cb1c2c35d253cbbac9b1489bc181322ed3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/95e5164d793a587bbd52217612342b6cce8da94d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/0cbb555517bc8c6f5cb273ce80c55c421799c2c3', 'width': 160}], 'name': 'BENEE', 'popularity': 79, 'type': 'artist', 'uri': 'spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4'}","['indie r&b', 'nz pop', 'pop']",79,436830
