artist,sp_id,spotify_artist,sp_genres,sp_popularity,sp_followers
Hippie Sabotage,4dM6NDYSfLcspt8GLoT5aE,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4dM6NDYSfLcspt8GLoT5aE'}, 'followers': {'href': None, 'total': 553460}, 'genres': ['edm'], 'href': 'https://api.spotify.com/v1/artists/4dM6NDYSfLcspt8GLoT5aE', 'id': '4dM6NDYSfLcspt8GLoT5aE', 'images': [{'height': 1000, 'url': 'https://i.scdn.co/image/37dd465e7bca202f2323da8de277a183135599fb', 'width': 1000}, {'height': 640, 'url': 'https://i.scdn.co/image/fb649ac072d0b89cbca137e7f7356b66a944d707', 'width': 640}, {'height': 200, 'url': 'https://i.scdn.co/image/97d029b8c41194066a5025a1b602d151e25a356e', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/19b760801289a649a1d4c6b41c76afadecbc8ba3', 'width': 64}], 'name': 'Hippie Sabotage', 'popularity': 75, 'type': 'artist', 'uri': 'spotify:artist:4dM6NDYSfLcspt8GLoT5aE'}",['edm'],75,553460
Todrick Hall,0gBvuNzrFCOVaiyKexoYMH,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0gBvuNzrFCOVaiyKexoYMH'}, 'followers': {'href': None, 'total': 248797}, 'genres': ['dance pop', 'pop', 'pop rap', 'post-teen pop'], 'href': 'https://api.spotify.com/v1/artists/0gBvuNzrFCOVaiyKexoYMH', 'id': '0gBvuNzrFCOVaiyKexoYMH', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b3b1034b958f2c71e813b76b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b3b1034b958f2c71e813b76b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b3b1034b958f2c71e813b76b', 'width': 64}], 'name': 'Todrick Hall', 'popularity': 64, 'type': 'artist', 'uri': 'spotify:artist:0gBvuNzrFCOVaiyKexoYMH'}","['dance pop', 'pop', 'pop rap', 'post-teen pop']",64,248797
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/20JZFwl6HVl6yg8a4H3ZqK'}, 'followers': {'href': None, 'total': 9912645}, 'genres': ['baroque pop', 'emo', 'modern rock', 'pop punk'], 'href': 'https://api.spotify.com/v1/artists/20JZFwl6HVl6yg8a4H3ZqK', 'id': '20JZFwl6HVl6yg8a4H3ZqK', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/58518a04cdd1f20a24cf0545838f3a7b775f8080', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/e71f9ba6573c95041ecd71f766788668f1ceb998', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/5b0544b8a3898be8693915ef7bffb216f781d23d', 'width': 160}], 'name': 'Panic! At The Disco', 'popularity': 84, 'type': 'artist', 'uri': 'spotify:artist:20JZFwl6HVl6yg8a4H3ZqK'}","['baroque pop', 'emo', 'modern rock', 'pop punk']",84,9912645
KRYPTO9095,3IQWn6L1It2U2Eq1IvXiZe,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/3IQWn6L1It2U2Eq1IvXiZe'}, 'followers': {'href': None, 'total': 14735}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/3IQWn6L1It2U2Eq1IvXiZe', 'id': '3IQWn6L1It2U2Eq1IvXiZe', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/cacbe9202f5ceed0f5f1bf239cc6914d8258f2db', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/2323ce22d16c9af2deb8387fa20b0dc1cb2b5357', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/f3a5dac03bc8fdc82fdbf32aabbafd9e21006c44', 'width': 160}], 'name': 'KRYPTO9095', 'popularity': 56, 'type': 'artist', 'uri': 'spotify:artist:3IQWn6L1It2U2Eq1IvXiZe'}",[],56,14735
D3Mstreet,5YmtXtYdmTZDjJB9kjjzzs,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5YmtXtYdmTZDjJB9kjjzzs'}, 'followers': {'href': None, 'total': 1554}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/5YmtXtYdmTZDjJB9kjjzzs', 'id': '5YmtXtYdmTZDjJB9kjjzzs', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/b28cacfcc35f1e493b5381c2d9bf9ed25774ea84', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/d9d1b5d25018edb4391d6558e52d3569cd3d4a4b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/9c1cc3e8d36be0e23c66952db43707c7497bfb75', 'width': 160}], 'name': 'D3Mstreet', 'popularity': 56, 'type': 'artist', 'uri': 'spotify:artist:5YmtXtYdmTZDjJB9kjjzzs'}",[],56,1554
Engelwood,7rgCh0Go1ezmcV75kXQM2T,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/7rgCh0Go1ezmcV75kXQM2T'}, 'followers': {'href': None, 'total': 71276}, 'genres': ['chillhop', 'future funk'], 'href': 'https://api.spotify.com/v1/artists/7rgCh0Go1ezmcV75kXQM2T', 'id': '7rgCh0Go1ezmcV75kXQM2T', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/e4036a61f7edf8f6ce409aac4fa11e8ac0c83d2e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/7b93e5bda4ee8112330b34499f1f9284504c39fa', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ffa7d7df03807ace22e468eef1cca1f5aa7e2089', 'width': 160}], 'name': 'Engelwood', 'popularity': 61, 'type': 'artist', 'uri': 'spotify:artist:7rgCh0Go1ezmcV75kXQM2T'}","['chillhop', 'future funk']",61,71276
Y2K,6USMTwO0MNDnKte5a5h0xx,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6USMTwO0MNDnKte5a5h0xx'}, 'followers': {'href': None, 'total': 241867}, 'genres': ['pop rap'], 'href': 'https://api.spotify.com/v1/artists/6USMTwO0MNDnKte5a5h0xx', 'id': '6USMTwO0MNDnKte5a5h0xx', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/10df130e3c229399bcecc55ce0eda289b60e0047', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/51c998f34b707b6e63648f9332f8b934e8ec50f3', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/f6e93dc92e764441a673c2d24caf61833e9c7fc8', 'width': 160}], 'name': 'Y2K', 'popularity': 72, 'type': 'artist', 'uri': 'spotify:artist:6USMTwO0MNDnKte5a5h0xx'}",['pop rap'],72,241867
bbno$,41X1TR6hrK8Q2ZCpp2EqCz,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/41X1TR6hrK8Q2ZCpp2EqCz'}, 'followers': {'href': None, 'total': 647331}, 'genres': ['canadian hip hop', 'dark trap', 'vapor trap'], 'href': 'https://api.spotify.com/v1/artists/41X1TR6hrK8Q2ZCpp2EqCz', 'id': '41X1TR6hrK8Q2ZCpp2EqCz', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/a84b5c64405a28e3102c4b98397be9ad403e2c49', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/78dd36017fc549311e77b4a5b62be8ff279710ae', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/6e67af09e26478e7e55d40ded5284202bb7b7816', 'width': 160}], 'name': 'bbno$', 'popularity': 80, 'type': 'artist', 'uri': 'spotify:artist:41X1TR6hrK8Q2ZCpp2EqCz'}","['canadian hip hop', 'dark trap', 'vapor trap']",80,647331
Tez Cadey,5cBeFQv3kBVP8o15CmPTKb,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5cBeFQv3kBVP8o15CmPTKb'}, 'followers': {'href': None, 'total': 68661}, 'genres': ['deep tropical house', 'tropical house'], 'href': 'https://api.spotify.com/v1/artists/5cBeFQv3kBVP8o15CmPTKb', 'id': '5cBeFQv3kBVP8o15CmPTKb', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/71160a9f790fbf39fe431b35f4538f7d5c606c9e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/0d095f90f5c28374d741d53e709dbe08458be12b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/52d2d11d06400898237d6de346df29aa13733706', 'width': 160}], 'name': 'Tez Cadey', 'popularity': 61, 'type': 'artist', 'uri': 'spotify:artist:5cBeFQv3kBVP8o15CmPTKb'}","['deep tropical house', 'tropical house']",61,68661
Ajay Stephens,19vSzy8s8Vc04MWTqExkLN,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/19vSzy8s8Vc04MWTqExkLN'}, 'followers': {'href': None, 'total': 13920}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/19vSzy8s8Vc04MWTqExkLN', 'id': '19vSzy8s8Vc04MWTqExkLN', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/706b48a023a8973dfb063a9c27760c745cdba10c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/7ab36e6d95373a20bd16728d564e1c80bf2d994e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/17951de0eb6fed8e0161fa724de4c422fe9138d6', 'width': 160}], 'name': 'Ajay Stephens', 'popularity': 49, 'type': 'artist', 'uri': 'spotify:artist:19vSzy8s8Vc04MWTqExkLN'}",[],49,13920
MEDUZA,0xRXCcSX89eobfrshSVdyu,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0xRXCcSX89eobfrshSVdyu'}, 'followers': {'href': None, 'total': 308227}, 'genres': ['brazilian edm', 'edm', 'electro house', 'pop house'], 'href': 'https://api.spotify.com/v1/artists/0xRXCcSX89eobfrshSVdyu', 'id': '0xRXCcSX89eobfrshSVdyu', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/f1dc8347ce1fd49e13f3e799175290a36e02b52d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/b7874e98d4e137794efa46a3105ddc1d2bb1917b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/e7b67a1f57c85a14544b30e7b5c8f7f4a50d15b9', 'width': 160}], 'name': 'MEDUZA', 'popularity': 79, 'type': 'artist', 'uri': 'spotify:artist:0xRXCcSX89eobfrshSVdyu'}","['brazilian edm', 'edm', 'electro house', 'pop house']",79,308227
Becky Hill,4EPJlUEBy49EX1wuFOvtjK,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4EPJlUEBy49EX1wuFOvtjK'}, 'followers': {'href': None, 'total': 202426}, 'genres': ['dance pop', 'house', 'pop', 'pop house', 'tropical house', 'uk dance', 'uk pop'], 'href': 'https://api.spotify.com/v1/artists/4EPJlUEBy49EX1wuFOvtjK', 'id': '4EPJlUEBy49EX1wuFOvtjK', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ebe548ef0f5881921687fb88c854461ffb755861', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/c35ee69e11b9ac6bf342818480a95acab678e03b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/36d1b8191e0ab589103a2dfa2daedf82932a1d3e', 'width': 160}], 'name': 'Becky Hill', 'popularity': 80, 'type': 'artist', 'uri': 'spotify:artist:4EPJlUEBy49EX1wuFOvtjK'}","['dance pop', 'house', 'pop', 'pop house', 'tropical house', 'uk dance', 'uk pop']",80,202426
Goodboys,2nm38smINjms1LtczR0Cei,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2nm38smINjms1LtczR0Cei'}, 'followers': {'href': None, 'total': 14108}, 'genres': ['uk dance'], 'href': 'https://api.spotify.com/v1/artists/2nm38smINjms1LtczR0Cei', 'id': '2nm38smINjms1LtczR0Cei', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/a1bb3f887b78fc363d99984192fa21282bc95e58', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/e0fd5d202f24305af307fd1e1fce4aeeff823ca2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/814fb84c777b3e074c533b7fd81351e521b59297', 'width': 160}], 'name': 'Goodboys', 'popularity': 79, 'type': 'artist', 'uri': 'spotify:artist:2nm38smINjms1LtczR0Cei'}",['uk dance'],79,14108
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we'}, 'followers': {'href': None, 'total': 19390415}, 'genres': ['dance pop', 'pop', 'uk pop'], 'href': 'https://api.spotify.com/v1/artists/6M2wZ9GZgrQXHCFfjv46we', 'id': '6M2wZ9GZgrQXHCFfjv46we', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/330f9806621bc0fe67f5c06f2f1f8df53d011b4e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/1d452370e002660986515bacbcaf28a9aea68d2e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/44893ea0065579ff145176eab721794b7714640c', 'width': 160}], 'name': 'Dua Lipa', 'popularity': 93, 'type': 'artist', 'uri': 'spotify:artist:6M2wZ9GZgrQXHCFfjv46we'}","['dance pop', 'pop', 'uk pop']",93,19390415
Anson Seabra,2jHp7gQArCQrlMvdrIVFCg,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2jHp7gQArCQrlMvdrIVFCg'}, 'followers': {'href': None, 'total': 412693}, 'genres': ['indie cafe pop', 'pop'], 'href': 'https://api.spotify.com/v1/artists/2jHp7gQArCQrlMvdrIVFCg', 'id': '2jHp7gQArCQrlMvdrIVFCg', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/0a2c30e1aa966780beecde57237ad4bd5cc33bb1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/9a1bde325fa9cbd5de618efc3b3736073fc6f2d8', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/fe6d7c01433b3e177817713c72a6da484961c7e1', 'width': 160}], 'name': 'Anson Seabra', 'popularity': 73, 'type': 'artist', 'uri': 'spotify:artist:2jHp7gQArCQrlMvdrIVFCg'}","['indie cafe pop', 'pop']",73,412693
Nfasis,5ypEYwWaSgtjBPCPcredFM,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5ypEYwWaSgtjBPCPcredFM'}, 'followers': {'href': None, 'total': 122139}, 'genres': ['dembow', 'dominican pop', 'perreo', 'rap dominicano'], 'href': 'https://api.spotify.com/v1/artists/5ypEYwWaSgtjBPCPcredFM', 'id': '5ypEYwWaSgtjBPCPcredFM', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/01935373bb0f66b2acf558ea5fa0eda87e6b0eb4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/46fe4e76da8dc184bf119b8192eebe02162d3a56', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/7689a91ddb2fd149a1baf35eee13f23d2f00cc93', 'width': 160}], 'name': 'Nfasis', 'popularity': 63, 'type': 'artist', 'uri': 'spotify:artist:5ypEYwWaSgtjBPCPcredFM'}","['dembow', 'dominican pop', 'perreo', 'rap dominicano']",63,122139
Sean Paul,3Isy6kedDrgPYoTS1dazA9,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/3Isy6kedDrgPYoTS1dazA9'}, 'followers': {'href': None, 'total': 3145599}, 'genres': ['dance pop', 'dancehall', 'pop', 'pop rap'], 'href': 'https://api.spotify.com/v1/artists/3Isy6kedDrgPYoTS1dazA9', 'id': '3Isy6kedDrgPYoTS1dazA9', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/e15025ccdfab6e62b9c2b391e4e5f44bac36a3db', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/b4533be0e359e91e13bdf87667b107f4672472ad', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/69b7c0342aff7e1d662a1579507bbcef3a18e87a', 'width': 160}], 'name': 'Sean Paul', 'popularity': 83, 'type': 'artist', 'uri': 'spotify:artist:3Isy6kedDrgPYoTS1dazA9'}","['dance pop', 'dancehall', 'pop', 'pop rap']",83,3145599
Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/40LHVA5BTQp9RxHOQ9JPYj'}, 'followers': {'href': None, 'total': 1403206}, 'genres': ['ccm', 'christian alternative rock', 'christian music', 'worship'], 'href': 'https://api.spotify.com/v1/artists/40LHVA5BTQp9RxHOQ9JPYj', 'id': '40LHVA5BTQp9RxHOQ9JPYj', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/bda8309d6e51d334c150e2ee56b1272356158060', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/10aef2a926a9716c740503883f3c81e8fed60079', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/63d839bfde458b023db256c4b59fa67cc6ebcf9c', 'width': 160}], 'name': 'Lauren Daigle', 'popularity': 74, 'type': 'artist', 'uri': 'spotify:artist:40LHVA5BTQp9RxHOQ9JPYj'}","['ccm', 'christian alternative rock', 'christian music', 'worship']",74,1403206
Mustard,0YinUQ50QDB7ZxSCLyQ40k,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0YinUQ50QDB7ZxSCLyQ40k'}, 'followers': {'href': None, 'total': 738274}, 'genres': ['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'], 'href': 'https://api.spotify.com/v1/artists/0YinUQ50QDB7ZxSCLyQ40k', 'id': '0YinUQ50QDB7ZxSCLyQ40k', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/4dcf713a3bc309590381ecf718be7d5b1b8f0f61', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/f1f97ee839676c3ed7e8188e08a3bcff491be24d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/4daa358232eccceddb13ad6f01d394c407f5e668', 'width': 160}], 'name': 'Mustard', 'popularity': 82, 'type': 'artist', 'uri': 'spotify:artist:0YinUQ50QDB7ZxSCLyQ40k'}","['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",82,738274
Milky Chance,1hzfo8twXdOegF3xireCYs,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1hzfo8twXdOegF3xireCYs'}, 'followers': {'href': None, 'total': 1382526}, 'genres': ['german pop'], 'href': 'https://api.spotify.com/v1/artists/1hzfo8twXdOegF3xireCYs', 'id': '1hzfo8twXdOegF3xireCYs', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/a2a8efafec6cc807b8bafc1e71ab27214551c850', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/e4cee4ac66c4d3f5c3b38e1b1963e551602a8fb0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/28376531f92f9a4a18298a23f540fc65399fc8ed', 'width': 160}], 'name': 'Milky Chance', 'popularity': 76, 'type': 'artist', 'uri': 'spotify:artist:1hzfo8twXdOegF3xireCYs'}",['german pop'],76,1382526
BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Bl6wpkWCQ4KVgnASpvzzA'}, 'followers': {'href': None, 'total': 1569443}, 'genres': ['boy band', 'hip hop', 'rap'], 'href': 'https://api.spotify.com/v1/artists/1Bl6wpkWCQ4KVgnASpvzzA', 'id': '1Bl6wpkWCQ4KVgnASpvzzA', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/c5d8db5b41cdf04a63ab8dc30c4f92a9b9005263', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/b6ea4e1aab4572b8415a78ef703c106b6d20b47e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/6f2b36cd3bdfde856ab93eb242847cac37fefed7', 'width': 160}], 'name': 'BROCKHAMPTON', 'popularity': 79, 'type': 'artist', 'uri': 'spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA'}","['boy band', 'hip hop', 'rap']",79,1569443
TELYKast,7vWC03wqXwUqjPON8hc1tz,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/7vWC03wqXwUqjPON8hc1tz'}, 'followers': {'href': None, 'total': 17567}, 'genres': ['pop edm'], 'href': 'https://api.spotify.com/v1/artists/7vWC03wqXwUqjPON8hc1tz', 'id': '7vWC03wqXwUqjPON8hc1tz', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/1f1a569e5d0218b99bc70ac9c7251868d2254f2e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/4b4c857b3398b185222c7bc294a9667635035bac', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/b995c59d6c5ea70edaf2b32ed84ac843c90665d3', 'width': 160}], 'name': 'TELYKast', 'popularity': 54, 'type': 'artist', 'uri': 'spotify:artist:7vWC03wqXwUqjPON8hc1tz'}",['pop edm'],54,17567
One True God,35Of0m0cvpLYrmQ6qd5ocp,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/35Of0m0cvpLYrmQ6qd5ocp'}, 'followers': {'href': None, 'total': 9252}, 'genres': ['experimental bass'], 'href': 'https://api.spotify.com/v1/artists/35Of0m0cvpLYrmQ6qd5ocp', 'id': '35Of0m0cvpLYrmQ6qd5ocp', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/9ef1a63af0382c5239a14e94c956c2995ff3dae8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/9ea41147fc77db49fadf56e2823850b9e851c693', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ba7bf7000d345a458368b1e5887bc5cf7020aec5', 'width': 160}], 'name': 'One True God', 'popularity': 49, 'type': 'artist', 'uri': 'spotify:artist:35Of0m0cvpLYrmQ6qd5ocp'}",['experimental bass'],49,9252
Kina,4qIVPF0s71ZYW3qzhu5GkF,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4qIVPF0s71ZYW3qzhu5GkF'}, 'followers': {'href': None, 'total': 491702}, 'genres': ['pop', 'sad rap'], 'href': 'https://api.spotify.com/v1/artists/4qIVPF0s71ZYW3qzhu5GkF', 'id': '4qIVPF0s71ZYW3qzhu5GkF', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/b94b31a2fa825319d0f9ef1812b6ec2163add35e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/e24ee03642ab71eac9aa9bf090b5a5559dc61953', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/5011f3f74f3ecafb973492cb2741d08c6caebb64', 'width': 160}], 'name': 'Kina', 'popularity': 78, 'type': 'artist', 'uri': 'spotify:artist:4qIVPF0s71ZYW3qzhu5GkF'}","['pop', 'sad rap']",78,491702
Adriana Proenza,7KHA7OOevgTDFhlym0oEyP,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/7KHA7OOevgTDFhlym0oEyP'}, 'followers': {'href': None, 'total': 11653}, 'genres': ['spanish indie pop'], 'href': 'https://api.spotify.com/v1/artists/7KHA7OOevgTDFhlym0oEyP', 'id': '7KHA7OOevgTDFhlym0oEyP', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/eb4dd28b4a0ac22a265574b278d8f721ccda4c9e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/4404acb26c12d849790e352a221aa616513d6ce5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/4c1332af05a9420970c9636f1572bdb3e978b6e1', 'width': 160}], 'name': 'Adriana Proenza', 'popularity': 70, 'type': 'artist', 'uri': 'spotify:artist:7KHA7OOevgTDFhlym0oEyP'}",['spanish indie pop'],70,11653
Low E,2Xz23vUQqZwpOaUac3A8kf,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2Xz23vUQqZwpOaUac3A8kf'}, 'followers': {'href': None, 'total': 58}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/2Xz23vUQqZwpOaUac3A8kf', 'id': '2Xz23vUQqZwpOaUac3A8kf', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/baab66081bdc10c0a86b87323315de27518b4243', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/261d12fdf924136ee2845bd509ed39a6c7ff3440', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/a76001bea9ce6e900199809f1a1dff4045bb6024', 'width': 160}], 'name': 'Low E', 'popularity': 18, 'type': 'artist', 'uri': 'spotify:artist:2Xz23vUQqZwpOaUac3A8kf'}",[],18,58
K CAMP,5bgfj5zUoWpyeVatGDjn6H,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5bgfj5zUoWpyeVatGDjn6H'}, 'followers': {'href': None, 'total': 1192668}, 'genres': ['atl hip hop', 'hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'rap', 'southern hip hop', 'trap'], 'href': 'https://api.spotify.com/v1/artists/5bgfj5zUoWpyeVatGDjn6H', 'id': '5bgfj5zUoWpyeVatGDjn6H', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/9c3a69fa2f24f98d936b9faec0b84be1aeda827e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/27396efcb37ef5d750737f4c5a32055c9df6422f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/f74fd6a2fc7268368a64e41ae2c4766070466b6c', 'width': 160}], 'name': 'K CAMP', 'popularity': 72, 'type': 'artist', 'uri': 'spotify:artist:5bgfj5zUoWpyeVatGDjn6H'}","['atl hip hop', 'hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'rap', 'southern hip hop', 'trap']",72,1192668
Flume,6nxWCVXbOlEVRexSbLsTer,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6nxWCVXbOlEVRexSbLsTer'}, 'followers': {'href': None, 'total': 2063287}, 'genres': ['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm'], 'href': 'https://api.spotify.com/v1/artists/6nxWCVXbOlEVRexSbLsTer', 'id': '6nxWCVXbOlEVRexSbLsTer', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/0436e3871c9f88b8f83559a70fd8d2f22cb3fd01', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/6b58820d8b73ed2e61d27121c0802d7631414d6d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/7ac9ab91bd347f8eb5fb451be780a805624617b3', 'width': 160}], 'name': 'Flume', 'popularity': 77, 'type': 'artist', 'uri': 'spotify:artist:6nxWCVXbOlEVRexSbLsTer'}","['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']",77,2063287
kai,6xHUXzrfhFgnIv86EBR3Ml,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6xHUXzrfhFgnIv86EBR3Ml'}, 'followers': {'href': None, 'total': 19125}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/6xHUXzrfhFgnIv86EBR3Ml', 'id': '6xHUXzrfhFgnIv86EBR3Ml', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/c8bd0b542b0583663c0f4dd2f3b06f4e73f6d8df', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/c27b9ac1bd0b3d863a3d3ada24e6627f86258955', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/984e7ca95e3b82b3da01cea729b85384a1242cd8', 'width': 160}], 'name': 'kai', 'popularity': 64, 'type': 'artist', 'uri': 'spotify:artist:6xHUXzrfhFgnIv86EBR3Ml'}",[],64,19125
